label,support,predicted_positive,f1,precision,recall
Burgundy,245,407,0.21779141104294478,0.17444717444717445,0.2897959183673469
Multiple Colors,1205,3145,0.27080459770114945,0.18728139904610494,0.4887966804979253
Khaki,835,1848,0.34066343645173314,0.2472943722943723,0.5473053892215569
Yellow,1450,4081,0.343879949376243,0.23303111982357266,0.6558620689655172
Purple,1004,2222,0.3825170489770614,0.27767776777677766,0.6145418326693227
Orange,1021,1809,0.38303886925795055,0.2996130458817026,0.5308521057786484
Green,2130,5720,0.41579617834394905,0.2853146853146853,0.7661971830985915
Gold,814,1856,0.4202247191011236,0.30226293103448276,0.6891891891891891
Red,2403,6688,0.4311956880431196,0.2930622009569378,0.8156471077819393
Navy,2511,6740,0.4734623283969301,0.3249258160237389,0.8721624850657109
